feature,module,pane,category,category_source,criteria,scored,dtype,fill_rate,n_unique,include_in_plot,exclude_reason,encodable_as,transform,label,derived_from,duplicate_of,null_pattern,fill_separate_orfs
canonical_conservation_phastcons_at_tis,conservation,canonical,C,module_map,,False,float,1.0,528,True,,numeric,linear,,,,,1.0
canonical_conservation_phastcons_kozak_mean,conservation,canonical,C,module_map,,False,float,1.0,2805,True,,numeric,linear,,,,,1.0
canonical_conservation_phylop_at_tis,conservation,canonical,C,module_map,,False,float,1.0,2721,True,,numeric,linear,,,,,1.0
canonical_conservation_phylop_kozak_mean,conservation,canonical,C,module_map,,False,float,1.0,3474,True,,numeric,linear,,,,,1.0
isoform_conservation_phastcons_at_tis,conservation,isoform,C,evidence_cols,C3_phylop_coding_selection,False,float,1.0,1561,True,,numeric,linear,phastCons at TIS,,,,1.0
isoform_conservation_phastcons_kozak_mean,conservation,isoform,C,evidence_cols,C3_phylop_coding_selection,False,float,1.0,4067,True,,numeric,linear,phastCons mean over Kozak window,,,,1.0
isoform_conservation_phastcons_shared_region_mean,conservation,isoform,C,evidence_cols,C3_phylop_coding_selection,False,float,0.9511,5811,True,,numeric,linear,phastCons mean over shared region,,,depleted_for_separate_orfs,0.2883
isoform_conservation_phastcons_unique_region_mean,conservation,isoform,C,evidence_cols,C3_phylop_coding_selection,False,float,0.9944,6185,True,,numeric,linear,phastCons mean over unique region,,,,0.9189
isoform_conservation_phylop_at_tis,conservation,isoform,C,evidence_cols,C3_phylop_coding_selection,False,float,0.9998,6203,True,,numeric,linear,PhyloP score at TIS,,,,1.0
isoform_conservation_phylop_enrichment,conservation,isoform,C,evidence_cols,C3_phylop_coding_selection,False,float,0.9454,6109,True,,numeric,signed_log,PhyloP enrichment (unique vs shared),,,depleted_for_separate_orfs,0.2072
isoform_conservation_phylop_kozak_mean,conservation,isoform,C,evidence_cols,C3_phylop_coding_selection,False,float,0.9998,6459,True,,numeric,linear,PhyloP mean over Kozak window,,,,1.0
isoform_conservation_phylop_shared_region_mean,conservation,isoform,C,evidence_cols,C3_phylop_coding_selection,False,float,0.9509,5819,True,,numeric,linear,PhyloP mean over shared region,,,depleted_for_separate_orfs,0.2883
isoform_conservation_phylop_unique_region_mean,conservation,isoform,C,evidence_cols,C3_phylop_coding_selection,True,float,0.9944,6420,True,,numeric,linear,PhyloP mean over unique region,,,,0.9189
isoform_conservation_summary.phastcons_bigwig,conservation,isoform,C,module_map,,False,str,1.0,1,False,status_string,-,-,,,,,
isoform_conservation_summary.phastcons_status,conservation,isoform,C,module_map,,False,str,1.0,1,False,status_string,-,-,,,,,
isoform_conservation_summary.phylop_bigwig,conservation,isoform,C,module_map,,False,str,1.0,1,False,status_string,-,-,,,,,
isoform_conservation_summary.phylop_status,conservation,isoform,C,module_map,,False,str,1.0,1,False,status_string,-,-,,,,,
isoform_conservation_summary.region_status,conservation,isoform,C,module_map,,False,str,1.0,1,False,status_string,-,-,,,,,
isoform_conservation_summary.shared_region_nt,conservation,isoform,C,module_map,,False,int,1.0,1319,False,redundant,numeric,log1p,,,isoform_variant_intersection_shared_region_nt,,1.0
isoform_conservation_summary.unique_region_nt,conservation,isoform,C,module_map,,False,int,1.0,1083,False,redundant,numeric,log1p,,,isoform_variant_intersection_unique_region_nt,,1.0
isoform_conservation_summary.unique_space,conservation,isoform,C,module_map,,False,str,1.0,2,False,status_string,one_hot,-,,,,,
isoform_conservation_frame_mammalian_canonical_deepest_species,conservation_frame,isoform,C,module_map,,False,str,0.9827,20,False,free_text,text_embedding,-,,,,,
isoform_conservation_frame_mammalian_canonical_frac_intact,conservation_frame,isoform,C,module_map,,False,float,0.9944,78,True,,numeric,linear,Canonical fraction of mammals with intact ORF,,,,0.9189
isoform_conservation_frame_mammalian_canonical_max_depth,conservation_frame,isoform,C,module_map,,False,float,0.9827,7,True,,numeric,linear,,,,,0.9144
isoform_conservation_frame_mammalian_canonical_mean_pident,conservation_frame,isoform,C,evidence_cols,C2_mammalian_conservation,False,float,0.9944,3562,True,,numeric,linear,Canonical mean % identity to mammalian orthologs,,,,0.9189
isoform_conservation_frame_mammalian_canonical_n_species_aligned,conservation_frame,isoform,C,evidence_cols,C2_mammalian_conservation,False,float,0.9944,13,True,,numeric,linear,Canonical mammalian species aligned,,,,0.9189
isoform_conservation_frame_mammalian_canonical_n_species_intact_frame,conservation_frame,isoform,C,module_map,,False,float,0.9944,21,True,,numeric,linear,,,,,0.9189
isoform_conservation_frame_mammalian_canonical_start_codon_conserved,conservation_frame,isoform,C,module_map,,False,float,0.9943,104,True,,numeric,linear,,,,,0.9189
isoform_conservation_frame_mammalian_deepest_species,conservation_frame,isoform,C,evidence_cols,C2_mammalian_conservation,False,str,0.9834,20,False,free_text,text_embedding,-,Deepest mammal with intact frame,,,,
isoform_conservation_frame_mammalian_frac_intact,conservation_frame,isoform,C,evidence_cols,C2_mammalian_conservation,False,float,0.9944,123,True,,numeric,linear,Fraction of mammals with intact ORF,,,,0.9189
isoform_conservation_frame_mammalian_max_depth,conservation_frame,isoform,C,evidence_cols,C2_mammalian_conservation,False,float,0.9834,7,True,,numeric,linear,Max evolutionary depth (mammals),,,,0.8671
isoform_conservation_frame_mammalian_mean_pident,conservation_frame,isoform,C,evidence_cols,C2_mammalian_conservation,True,float,0.9944,5698,True,,numeric,linear,Mean % identity to mammalian orthologs,,,,0.9189
isoform_conservation_frame_mammalian_n_species_aligned,conservation_frame,isoform,C,evidence_cols,C2_mammalian_conservation,False,float,0.9944,19,True,,numeric,linear,Mammalian species aligned,,,,0.9189
isoform_conservation_frame_mammalian_n_species_intact_frame,conservation_frame,isoform,C,evidence_cols,C2_mammalian_conservation,False,float,0.9944,21,True,,numeric,linear,Mammalian species with intact frame,,,,0.9189
isoform_conservation_frame_mammalian_start_codon_conserved,conservation_frame,isoform,C,evidence_cols,C2_mammalian_conservation,False,float,0.9938,129,True,,numeric,linear,Mammals with conserved start codon,,,,0.9189
isoform_conservation_frame_primate_canonical_deepest_species,conservation_frame,isoform,C,module_map,,False,str,0.9881,24,False,free_text,text_embedding,-,,,,,
isoform_conservation_frame_primate_canonical_frac_intact,conservation_frame,isoform,C,module_map,,False,float,0.9944,60,True,,numeric,linear,Canonical fraction of primates with intact ORF,,,,0.9189
isoform_conservation_frame_primate_canonical_max_depth,conservation_frame,isoform,C,module_map,,False,float,0.9881,7,True,,numeric,linear,,,,,0.9144
isoform_conservation_frame_primate_canonical_mean_pident,conservation_frame,isoform,C,evidence_cols,C1_primate_conservation,False,float,0.9944,3536,True,,numeric,linear,Canonical mean % identity to primate orthologs,,,,0.9189
isoform_conservation_frame_primate_canonical_n_species_aligned,conservation_frame,isoform,C,evidence_cols,C1_primate_conservation,False,float,0.9944,9,True,,numeric,linear,Canonical primate species aligned,,,,0.9189
isoform_conservation_frame_primate_canonical_n_species_intact_frame,conservation_frame,isoform,C,module_map,,False,float,0.9944,26,True,,numeric,linear,,,,,0.9189
isoform_conservation_frame_primate_canonical_start_codon_conserved,conservation_frame,isoform,C,module_map,,False,float,0.9943,78,True,,numeric,linear,,,,,0.9189
isoform_conservation_frame_primate_deepest_species,conservation_frame,isoform,C,evidence_cols,C1_primate_conservation,False,str,0.9867,23,False,free_text,text_embedding,-,Deepest primate with intact frame,,,,
isoform_conservation_frame_primate_frac_intact,conservation_frame,isoform,C,evidence_cols,C1_primate_conservation,False,float,0.9944,123,True,,numeric,linear,Fraction of primates with intact ORF,,,,0.9189
isoform_conservation_frame_primate_max_depth,conservation_frame,isoform,C,evidence_cols,C1_primate_conservation,False,float,0.9867,7,True,,numeric,linear,Max evolutionary depth (primates),,,,0.8671
isoform_conservation_frame_primate_mean_pident,conservation_frame,isoform,C,evidence_cols,C1_primate_conservation,True,float,0.9944,5045,True,,numeric,linear,Mean % identity to primate orthologs,,,,0.9189
isoform_conservation_frame_primate_n_species_aligned,conservation_frame,isoform,C,evidence_cols,C1_primate_conservation,False,float,0.9944,16,True,,numeric,linear,Primate species aligned,,,,0.9189
isoform_conservation_frame_primate_n_species_intact_frame,conservation_frame,isoform,C,evidence_cols,C1_primate_conservation,False,float,0.9944,26,True,,numeric,linear,Primate species with intact frame,,,,0.9189
isoform_conservation_frame_primate_start_codon_conserved,conservation_frame,isoform,C,evidence_cols,C1_primate_conservation,False,float,0.9938,145,True,,numeric,linear,Primates with conserved start codon,,,,0.9189
isoform_conservation_frame_summary.canonical_region_nt,conservation_frame,isoform,C,module_map,,False,float,0.9944,1213,True,,numeric,log1p,,,,,0.9189
isoform_conservation_frame_summary.canonical_status,conservation_frame,isoform,C,module_map,,False,str,0.9944,1,False,status_string,-,-,,,,,
isoform_conservation_frame_summary.hal_path,conservation_frame,isoform,C,module_map,,False,str,0.9944,1,False,status_string,-,-,,,,,
isoform_conservation_frame_summary.status,conservation_frame,isoform,C,module_map,,False,str,1.0,2,False,status_string,one_hot,-,,,,,
isoform_conservation_frame_summary.tree_loaded,conservation_frame,isoform,C,module_map,,False,bool,0.9944,1,False,binary,binary_0_1,-,,,,,
isoform_conservation_frame_summary.unique_region_nt,conservation_frame,isoform,C,module_map,,False,float,0.9944,1082,True,,numeric,log1p,,,,,0.9189
isoform_conservation_frame_summary.unique_space,conservation_frame,isoform,C,module_map,,False,str,0.9944,2,False,status_string,one_hot,-,,,,,
canonical_expr_HeLa_cpm,expr,canonical,D,module_map,,False,float,0.5755,326,True,,numeric,log1p,,,,,0.3829
canonical_expr_HeLa_initiation_efficiency,expr,canonical,D,evidence_cols,D2_initiation_efficiency,False,float,0.5707,1753,True,,numeric,linear,HeLa: canonical initiation efficiency,,,,0.3784
canonical_expr_HeLa_p_value,expr,canonical,D,module_map,,False,float,0.5755,1972,True,,numeric,neglog10,,,,,0.3829
canonical_expr_HeLa_raw_count,expr,canonical,D,module_map,,False,float,0.5755,326,True,,numeric,log1p,,,,,0.3829
canonical_expr_K562_cpm,expr,canonical,D,module_map,,False,float,0.7275,451,True,,numeric,log1p,,,,,0.5923
canonical_expr_K562_initiation_efficiency,expr,canonical,D,evidence_cols,D2_initiation_efficiency,False,float,0.7233,2360,True,,numeric,linear,K562: canonical initiation efficiency,,,,0.5856
canonical_expr_K562_p_value,expr,canonical,D,module_map,,False,float,0.7275,2590,True,,numeric,neglog10,,,,,0.5923
canonical_expr_K562_raw_count,expr,canonical,D,module_map,,False,float,0.7275,451,True,,numeric,log1p,,,,,0.5923
canonical_expr_RPE1_Async_cpm,expr,canonical,D,module_map,,False,float,0.4058,267,True,,numeric,log1p,,,,,0.2162
canonical_expr_RPE1_Async_initiation_efficiency,expr,canonical,D,evidence_cols,D2_initiation_efficiency,False,float,0.4044,1322,True,,numeric,linear,RPE1 Async: canonical initiation efficiency,,,,0.214
canonical_expr_RPE1_Async_p_value,expr,canonical,D,module_map,,False,float,0.4058,1378,True,,numeric,neglog10,,,,,0.2162
canonical_expr_RPE1_Async_raw_count,expr,canonical,D,module_map,,False,float,0.4058,267,True,,numeric,log1p,,,,,0.2162
canonical_expr_RPE1_Que_cpm,expr,canonical,D,module_map,,False,float,0.5489,250,True,,numeric,log1p,,,,,0.3671
canonical_expr_RPE1_Que_initiation_efficiency,expr,canonical,D,evidence_cols,D2_initiation_efficiency,False,float,0.5455,1785,True,,numeric,linear,RPE1 Que: canonical initiation efficiency,,,,0.3626
canonical_expr_RPE1_Que_p_value,expr,canonical,D,module_map,,False,float,0.5489,1931,True,,numeric,neglog10,,,,,0.3671
canonical_expr_RPE1_Que_raw_count,expr,canonical,D,module_map,,False,float,0.5489,250,True,,numeric,log1p,,,,,0.3671
canonical_expr_RPE1_Sen_cpm,expr,canonical,D,module_map,,False,float,0.4288,278,True,,numeric,log1p,,,,,0.25
canonical_expr_RPE1_Sen_initiation_efficiency,expr,canonical,D,evidence_cols,D2_initiation_efficiency,False,float,0.426,1381,True,,numeric,linear,RPE1 Sen: canonical initiation efficiency,,,,0.2477
canonical_expr_RPE1_Sen_p_value,expr,canonical,D,module_map,,False,float,0.4288,1447,True,,numeric,neglog10,,,,,0.25
canonical_expr_RPE1_Sen_raw_count,expr,canonical,D,module_map,,False,float,0.4288,278,True,,numeric,log1p,,,,,0.25
canonical_expr_U2OS_cpm,expr,canonical,D,module_map,,False,float,0.5864,224,True,,numeric,log1p,,,,,0.3446
canonical_expr_U2OS_initiation_efficiency,expr,canonical,D,evidence_cols,D2_initiation_efficiency,False,float,0.5834,1848,True,,numeric,linear,U2OS: canonical initiation efficiency,,,,0.3423
canonical_expr_U2OS_p_value,expr,canonical,D,module_map,,False,float,0.5864,2037,True,,numeric,neglog10,,,,,0.3446
canonical_expr_U2OS_raw_count,expr,canonical,D,module_map,,False,float,0.5864,224,True,,numeric,log1p,,,,,0.3446
expr_HeLa_cpm,expr,isoform,D,evidence_cols,D1_multi_cell_line,False,float,1.0,267,True,,numeric,log1p,HeLa: CPM,,,,1.0
expr_HeLa_initiation_efficiency,expr,isoform,D,evidence_cols,D1_multi_cell_line;D2_initiation_efficiency,True,float,0.9923,3799,True,,numeric,linear,HeLa: initiation efficiency,,,,0.9775
expr_HeLa_p_value,expr,isoform,D,evidence_cols,D1_multi_cell_line,False,float,1.0,6438,True,,numeric,neglog10,HeLa: p-value,,,,1.0
expr_HeLa_raw_count,expr,isoform,D,evidence_cols,D1_multi_cell_line,True,int,1.0,267,True,,numeric,log1p,HeLa: raw count,,,,1.0
expr_K562_cpm,expr,isoform,D,evidence_cols,D1_multi_cell_line,False,float,0.2298,241,True,,numeric,log1p,K562: CPM,,,,0.3198
expr_K562_initiation_efficiency,expr,isoform,D,evidence_cols,D1_multi_cell_line;D2_initiation_efficiency,True,float,0.2292,1428,True,,numeric,linear,K562: initiation efficiency,,,,0.3198
expr_K562_p_value,expr,isoform,D,evidence_cols,D1_multi_cell_line,False,float,0.2298,1485,True,,numeric,neglog10,K562: p-value,,,,0.3198
expr_K562_raw_count,expr,isoform,D,evidence_cols,D1_multi_cell_line,True,float,0.2298,241,True,,numeric,log1p,K562: raw count,,,,0.3198
expr_RPE1_Async_cpm,expr,isoform,D,evidence_cols,D1_multi_cell_line,False,float,0.1335,169,True,,numeric,log1p,RPE1 Async: CPM,,,,0.0495
expr_RPE1_Async_initiation_efficiency,expr,isoform,D,evidence_cols,D1_multi_cell_line;D2_initiation_efficiency,True,float,0.1331,844,True,,numeric,linear,RPE1 Async: initiation efficiency,,,,0.0473
expr_RPE1_Async_p_value,expr,isoform,D,evidence_cols,D1_multi_cell_line,False,float,0.1335,861,True,,numeric,neglog10,RPE1 Async: p-value,,,,0.0495
expr_RPE1_Async_raw_count,expr,isoform,D,evidence_cols,D1_multi_cell_line,True,float,0.1335,169,True,,numeric,log1p,RPE1 Async: raw count,,,,0.0495
expr_RPE1_Que_cpm,expr,isoform,D,evidence_cols,D1_multi_cell_line,False,float,0.1565,139,True,,numeric,log1p,RPE1 Que: CPM,,,,0.1689
expr_RPE1_Que_initiation_efficiency,expr,isoform,D,evidence_cols,D1_multi_cell_line;D2_initiation_efficiency,True,float,0.156,967,True,,numeric,linear,RPE1 Que: initiation efficiency,,,,0.1667
