category,contrast,disagreement_pct,floor_pct,floor_units,resolvable
C,hint,10.0,4.0,2.5,True
C,raw,28.0,4.0,7.0,True
C,tags,12.0,4.0,3.0,True
C,dist,34.0,4.0,8.5,True
D,hint,16.0,6.0,2.67,True
D,raw,32.0,6.0,5.33,True
D,tags,16.0,6.0,2.67,True
D,dist,42.0,6.0,7.0,True
L,hint,16.0,6.0,2.67,True
L,raw,26.0,6.0,4.33,True
L,tags,34.0,6.0,5.67,True
L,dist,50.0,6.0,8.33,True
M,hint,16.0,16.0,1.0,False
M,raw,12.0,16.0,0.75,False
M,tags,30.0,16.0,1.88,True
M,dist,14.0,16.0,0.88,False
P,hint,30.0,18.0,1.67,True
P,raw,16.0,18.0,0.89,False
P,tags,14.0,18.0,0.78,False
P,dist,24.0,18.0,1.33,True
S,hint,38.0,20.0,1.9,True
S,raw,56.0,20.0,2.8,True
S,tags,30.0,20.0,1.5,True
S,dist,52.0,20.0,2.6,True
