series_key,criterion_id,label,config_field,cutoff,direction,n,n_missing,p05,p25,median,p75,p95,raw_pass_pct,as_run_true,as_run_evaluable,as_run_fired_pct,as_run_evaluable_pct
C1_primate_mean_pident,C1_primate_conservation,C1  primate mean AA %identity,c1_pident_min,0.8,>=,6426,36,0.7725767195767196,0.8941835675581182,0.96,0.9900163943076022,1.0,92.7,5957,6426,92.7,99.4
C2_mammalian_mean_pident,C2_mammalian_conservation,C2  mammalian mean AA %identity,c2_pident_min,0.5,>=,6426,36,0.517619770580297,0.7317652138766155,0.888064530183972,0.963151830526743,0.9977883697338584,95.8,6158,6426,95.8,99.4
C3_phylop_unique_region_mean,C3_phylop_coding_selection,"C3  PhyloP mean, unique region",c3_phylop_min,2.0,>=,6426,36,-0.07301763771712717,1.7548597474547312,3.553958767143644,4.687995274837795,5.895050143930723,72.1,4633,6426,72.1,99.4
D1_n_cell_lines,D1_multi_cell_line,D1  cell lines detecting the TIS,min_cell_lines,3.0,>=,6462,0,1.0,1.0,1.0,2.0,5.0,21.2,1371,6462,21.2,100.0
D2_initiation_efficiency,D2_initiation_efficiency,D2  best initiation efficiency,initiation_efficiency_min,0.01,>=,6419,43,0.004295163930799523,0.010714285714285714,0.02165481577246283,0.052556900726392256,0.224605222431309,76.9,4939,6419,76.9,99.3
D3_validated_unique_peptides,D3_mass_spec,D3  validated isoform-unique peptides,massspec_unique_peptides_min,1.0,>=,6087,375,0.0,0.0,0.0,0.0,2.0,21.5,1309,6087,21.5,94.2
M1_constraint_enrichment,M1_pathogenic_variant_enrichment,M1a  ESM-C constraint enrichment,m1_constraint_enrichment_min,2.0,>=,6013,449,0.13731835028479233,0.7861416479308345,1.6282684754640562,3.3431116917945953,14.354378213932282,42.6,2950,6104,48.3,94.5
M1_gnomad_depletion_ratio,M1_pathogenic_variant_enrichment,M1b  gnomAD depletion ratio,m1_depletion_ratio_max,0.8,<,6101,361,0.5517468688200395,0.956896551724138,1.1253860142172258,1.478227654698243,2.310207528957529,12.0,2950,6104,48.3,94.5
M2_disease_enrichment_ratio,M2_clinical_variant_overlap,M2  disease-variant density ratio,m2_disease_enrichment_min,1.0,>=,6084,378,0.0,0.49730060634328355,0.8964557114711914,1.1002368776851055,1.6783609385783287,36.9,2243,6084,36.9,94.2
P1_plddt_diffregion_mean,P1_structured_extension,P1  diff-region mean pLDDT,p1_plddt_threshold,0.7,>=,5559,903,0.5183703355537438,0.7325681833419754,0.826593373336044,0.8877266139516682,0.9533823454249035,79.9,4433,5511,80.4,85.3
P2_rmsd_shared,P2_shared_structural_change,P2  shared-region Ca RMSD (A),p2_rmsd_shared_min,2.0,>=,5114,1348,0.5821342237663308,3.44900755184127,10.934716876053457,23.06111810059065,43.99902812618966,83.1,3393,4214,80.5,65.2
P2_shared_region_len,P2_shared_structural_change,P2 gate  shared-region length (aa),p2_min_shared_len,20.0,>=,5114,1348,76.0,177.0,303.0,465.0,748.3499999999995,99.9,3393,4214,80.5,65.2
P2_min_shared_plddt,P2_shared_structural_change,P2 gate  min shared-region pLDDT,p2_plddt_min,0.7,>=,5117,1345,0.5210622135444151,0.7635130003520421,0.851907027440261,0.9035759196979533,0.9547330582016634,82.4,3393,4214,80.5,65.2
S1_domains_changed,S1_domain_change,S1  real domains changed in diff region,(hardcoded),1.0,>=,6462,0,0.0,0.0,0.0,1.0,10.0,27.3,1763,6462,27.3,100.0
S2_gravy_delta,S2_biophysics,S2a  |GRAVY delta|,s2_gravy_delta_min,0.3,>=,6462,0,0.003105000000000045,0.018399999999999972,0.05495,0.15000000000000002,0.570075,12.9,1308,6462,20.2,100.0
S2_fraction_charged_delta,S2_biophysics,S2b  |fraction-charged delta|,s2_fraction_charged_delta_min,0.05,>=,6462,0,0.0005000000000000004,0.002899999999999958,0.008599999999999997,0.02400000000000002,0.09069499999999996,11.8,1308,6462,20.2,100.0
S2_disorder_delta,S2_biophysics,S2c  |disorder delta|,s2_disorder_delta_min,0.05,>=,6462,0,0.0005000000000000004,0.002799999999999997,0.00849999999999998,0.0254,0.09330000000000001,12.5,1308,6462,20.2,100.0
S3_top_shared_feature_delta,S3_sae,S3  top shared-feature |delta|,s3_top_delta_min,10.0,>=,6462,0,2.015605,5.1347499999999995,9.3555,13.4063,18.80426,46.1,6462,6462,100.0,100.0
