category,metric,label,direction,n,p05,p25,p50,p75,p95,best_break_depth,reason
C,isoform_conservation_frame_mammalian_canonical_frac_intact,isoform_conservation_frame_mammalian_canonical_frac_intact high,>=,6426,0.1,0.3,0.6,0.75,0.9,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_mammalian_canonical_max_depth,isoform_conservation_frame_mammalian_canonical_max_depth high,>=,6350,5.0,11.0,12.0,12.0,12.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_mammalian_canonical_mean_pident,isoform_conservation_frame_mammalian_canonical_mean_pident high,>=,6426,0.7666153060963053,0.8779926869081682,0.930696363452215,0.966757810633373,0.9901957550353218,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_mammalian_canonical_n_species_aligned,isoform_conservation_frame_mammalian_canonical_n_species_aligned high,>=,6426,19.0,20.0,20.0,20.0,20.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_mammalian_canonical_n_species_intact_frame,isoform_conservation_frame_mammalian_canonical_n_species_intact_frame high,>=,6426,2.0,6.0,12.0,15.0,18.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_mammalian_canonical_start_codon_conserved,isoform_conservation_frame_mammalian_canonical_start_codon_conserved high,>=,6425,0.75,0.9473684210526315,1.0,1.0,1.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_mammalian_frac_intact,isoform_conservation_frame_mammalian_frac_intact high,>=,6426,0.1,0.45,0.8,0.95,1.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_mammalian_max_depth,isoform_conservation_frame_mammalian_max_depth high,>=,6355,5.0,12.0,12.0,12.0,12.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_mammalian_n_species_aligned,isoform_conservation_frame_mammalian_n_species_aligned high,>=,6426,15.0,19.0,20.0,20.0,20.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_mammalian_n_species_intact_frame,isoform_conservation_frame_mammalian_n_species_intact_frame high,>=,6426,2.0,8.0,15.0,18.0,20.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_canonical_frac_intact,isoform_conservation_frame_primate_canonical_frac_intact high,>=,6426,0.32,0.76,0.84,0.92,1.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_canonical_max_depth,isoform_conservation_frame_primate_canonical_max_depth high,>=,6385,5.0,7.0,7.0,7.0,7.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_canonical_mean_pident,isoform_conservation_frame_primate_canonical_mean_pident high,>=,6426,0.9046182542876796,0.9550453159774563,0.9765389021260686,0.9901069944882972,0.9981459539123704,0.8,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_canonical_n_species_aligned,isoform_conservation_frame_primate_canonical_n_species_aligned high,>=,6426,25.0,25.0,25.0,25.0,25.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_canonical_n_species_intact_frame,isoform_conservation_frame_primate_canonical_n_species_intact_frame high,>=,6426,8.0,18.0,21.0,23.0,25.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_canonical_start_codon_conserved,isoform_conservation_frame_primate_canonical_start_codon_conserved high,>=,6425,0.88,1.0,1.0,1.0,1.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_frac_intact,isoform_conservation_frame_primate_frac_intact high,>=,6426,0.36,0.8,0.92,1.0,1.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_max_depth,isoform_conservation_frame_primate_max_depth high,>=,6376,5.0,7.0,7.0,7.0,7.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_n_species_aligned,isoform_conservation_frame_primate_n_species_aligned high,>=,6426,23.0,25.0,25.0,25.0,25.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_n_species_intact_frame,isoform_conservation_frame_primate_n_species_intact_frame high,>=,6426,8.0,20.0,23.0,25.0,25.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_primate_start_codon_conserved,isoform_conservation_frame_primate_start_codon_conserved high,>=,6422,0.5505000000000002,0.9523809523809523,1.0,1.0,1.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_summary.canonical_region_nt,isoform_conservation_frame_summary.canonical_region_nt high,>=,6426,381.0,855.0,1362.0,2205.0,5160.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_frame_summary.unique_region_nt,isoform_conservation_frame_summary.unique_region_nt high,>=,6426,12.0,45.0,123.0,537.0,2787.0,0.875,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_phastcons_shared_region_mean,isoform_conservation_phastcons_shared_region_mean high,>=,6146,0.43296403554990937,0.7297412695949252,0.8316525275081722,0.8949048251334955,0.9489209616542115,0.625,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_phylop_enrichment,isoform_conservation_phylop_enrichment high,>=,6109,-0.005125124577466836,0.5562994529496348,0.9409901993481325,1.1269704739793676,1.5590713581195295,0.5,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_phylop_kozak_mean,isoform_conservation_phylop_kozak_mean high,>=,6461,-0.5242307330839909,1.5613845850412662,3.851769195153163,5.107307615188452,6.2685385667360745,0.315,"no in-band cutoff — continuous, range-filter it instead"
C,isoform_conservation_phylop_shared_region_mean,isoform_conservation_phylop_shared_region_mean high,>=,6145,1.7555149542054895,3.2636303420181494,4.016289832268802,4.645038582825808,5.322792758504756,0.391,"no in-band cutoff — continuous, range-filter it instead"
D,cmp_massspec_n_hits_in_diff_region,cmp_massspec_n_hits_in_diff_region low,<,6462,0.0,0.0,0.0,2.0,9.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,expr_HeLa_cpm,expr_HeLa_cpm high,>=,6462,0.5469346500602722,0.5469346500602722,1.4584924001607258,3.463919450381724,16.225727951788077,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,expr_HeLa_initiation_efficiency,expr_HeLa_initiation_efficiency high,>=,6412,0.00425297953981533,0.010599855661539929,0.021148036253776436,0.05,0.2073179723502304,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,expr_HeLa_p_value,expr_HeLa_p_value high,>=,6462,3.435518125333775e-20,1.8392793383525166e-09,1.0779891133585846e-05,0.00111111398221485,0.022771875801502153,0.846,"no in-band cutoff — continuous, range-filter it instead"
D,expr_HeLa_raw_count,expr_HeLa_raw_count high,>=,6462,3.0,3.0,8.0,19.0,89.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,fisher_qvalue,fisher_qvalue high,>=,6462,6.907162205632237e-41,1.9340274683905862e-14,5.990911140771987e-07,0.0004981528005327,0.019663786021179352,0.857,"no in-band cutoff — continuous, range-filter it instead"
D,isoform_initiation_context_kozak_hamming_full,isoform_initiation_context_kozak_hamming_full high,>=,6462,5.0,6.0,7.0,9.0,10.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,isoform_initiation_context_kozak_hamming_major,isoform_initiation_context_kozak_hamming_major high,>=,6462,1.0,1.0,2.0,2.0,3.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,isoform_initiation_context_kozak_hamming_partial,isoform_initiation_context_kozak_hamming_partial high,>=,6462,1.2,1.6,2.5,2.7,3.7,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,isoform_initiation_context_kozak_window_gc_content,isoform_initiation_context_kozak_window_gc_content high,>=,6462,0.3076923076923077,0.38461538461538464,0.5384615384615384,0.6153846153846154,0.7692307692307693,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,isoform_massspec_summary.max_peptide_length,isoform_massspec_summary.max_peptide_length high,>=,5421,8.0,12.0,18.0,24.0,29.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,isoform_massspec_summary.min_peptide_length,isoform_massspec_summary.min_peptide_length high,>=,5421,7.0,8.0,10.0,16.0,25.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,isoform_massspec_summary.total_peptides,isoform_massspec_summary.total_peptides high,>=,6462,0.0,1.0,2.0,4.0,9.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
D,isoform_massspec_summary.unique_peptides,isoform_massspec_summary.unique_peptides high,>=,6462,0.0,1.0,2.0,4.0,9.0,1.0,"no in-band cutoff — continuous, range-filter it instead"
