gene_name,tis_id,orf_type,source
ASPM,chr1:197146533:-:CTG:ENST00000367409.9,extended,anchor
CBX1,chr17:48101392:-:GTG:ENST00000225603.9,extended,anchor
CBX1,chr17:48101353:-:CTG:ENST00000225603.9,extended,anchor
CBX1,chr17:48077016:-:CTG:ENST00000225603.9,extended,anchor
CBX1,chr17:48076938:-:GTG:ENST00000225603.9,truncated,anchor
CBX1,chr17:48076878:-:AAG:ENST00000225603.9,truncated,anchor
CDC34,chr19:531766:+:CTG:ENST00000215574.9,extended,anchor
CDC34,chr19:535896:+:AAG:ENST00000215574.9,truncated,anchor
EIF2B1,chr12:123633644:-:CTG:ENST00000424014.7,extended,anchor
EIF2B1,chr12:123633548:-:AAG:ENST00000424014.7,truncated,anchor
EIF2B1,chr12:123632402:-:ATG:ENST00000424014.7,truncated,anchor
FMR1,chrX:147912227:+:AAG:ENST00000621453.5,truncated,anchor
MAD2L1,chr4:120066797:-:TTG:ENST00000296509.11,extended,anchor
MAD2L1,chr4:120066779:-:CTG:ENST00000296509.11,extended,anchor
MAD2L1,chr4:120065801:-:ATT:ENST00000296509.11,truncated,anchor
SKA3,chr13:21176521:-:GTG:ENST00000298260.8,uoorf,anchor
SKA3,chr13:21176414:-:ACG:ENST00000314759.6,truncated,anchor
SRSF2,chr17:76737265:-:GTG:ENST00000585202.5,extended,anchor
TRIP13,chr5:892926:+:GTG:ENST00000166345.8,extended,anchor
TRNT1,chr3:3129127:+:ATG:ENST00000251607.11,truncated,anchor
UBE2D2,chr5:139561698:+:ATC:ENST00000398733.8,extended,anchor
UBE2M,chr19:58558576:-:ACG:ENST00000253023.8,extended,anchor
CMC2,chr16:81006748:-:GTG:ENST00000219400.8,uorf,rare_fill
SPEN,chr1:15847903:+:ATG:ENST00000375759.8,uorf,rare_fill
PBRM1,chr3:52685817:-:GTG:ENST00000420148.5,uorf,rare_fill
SPIN4,chrX:63350587:-:ATG:ENST00000374884.3,internal_oof,rare_fill
PHACTR4,chr1:28407460:+:TTG:ENST00000493669.2,internal_oof,rare_fill
CCT3,chr1:156338174:-:ATC:ENST00000368258.7,internal_oof,rare_fill
SMIM10L1,chr12:11171567:+:ATG:ENST00000622602.2,3utr_orf,rare_fill
APC,chr5:112754890:+:ATG:ENST00000505350.2,3utr_orf,rare_fill
SPECC1,chr17:20232217:+:AGG:ENST00000467722.3,3utr_orf,rare_fill
CGGBP1,chr3:88058939:-:ACG:ENST00000309534.10,uoorf,rare_fill
RPS6KA5,chr14:91060550:-:CTG:ENST00000614987.5,uoorf,rare_fill
ADAR,chr1:154602598:-:ATC:ENST00000368471.8,uoorf,rare_fill
LGALS1,chr22:37675690:+:CTG:ENST00000215909.10,extended,sampler
NUCKS1,chr1:205718417:-:AAG:ENST00000367142.5,truncated,sampler
INCENP,chr11:62124150:+:GTG:ENST00000394818.8,extended,sampler
CBX5,chr12:54257644:-:AAG:ENST00000439541.6,truncated,sampler
HSP90AA1,chr14:102087024:-:GTG:ENST00000216281.13,extended,sampler
LMNA,chr1:156114909:+:CTG:ENST00000368300.9,extended,sampler
KMT2C,chr7:152187716:-:AGG:ENST00000262189.11,truncated,sampler
GBE1,chr3:81761505:-:ATG:ENST00000429644.7,truncated,sampler
ATP9A,chr20:51604919:-:GTG:ENST00000338821.6,truncated,sampler
PIEZO1,chr16:88785126:-:ACG:ENST00000301015.14,extended,sampler
ETAA1,chr2:67397342:+:ATG:ENST00000272342.6,uorf,sampler
GTPBP6,chrY:316965:-:ACG:ENST00000711233.2,truncated,sampler
ACBD5,chr10:27240394:-:ATG:ENST00000375897.7,truncated,sampler
DELE1,chr5:141924624:+:AAG:ENST00000432126.7,truncated,sampler
LRRC58,chr3:120349006:-:TTG:ENST00000295628.4,truncated,sampler
AJUBA,chr14:22976722:-:TTG:ENST00000397388.7,extended,sampler
